species_label,species_name,individuals,records
0582,Larus ridibundus,28883,61463
0186,Anas platyrhynchos,16065,32494
0184,Anas crecca,9653,19364
0134,Ciconia ciconia,5880,13537
0122,Ardea cinerea,4179,8393
0072,Phalacrocorax carbo,6110,12626
0592,Larus argentatus,20508,48227
0152,Cygnus olor,13966,35646
0493,Vanellus vanellus,2496,4995
0590,Larus canus,5173,10433
0519,Gallinago gallinago,1266,2536
0429,Fulica atra,1457,2964
0591,Larus fuscus,2396,4895
0512,Calidris alpina,8566,17267
0161,Anser anser,2902,9652
0159,Anser albifrons,4882,16509
0203,Aythya fuligula,1615,3240
0179,Anas penelope,1391,2784
0546,Tringa totanus,2154,4317
0450,Haematopus ostralegus,5492,11099
0189,Anas acuta,1534,3074
0198,Aythya ferina,936,1872
0615,Sterna hirundo,1317,2675
0194,Anas clypeata,1030,2065
0600,Larus marinus,1731,3503
0541,Numenius arquata,607,1216
0424,Gallinula chloropus,521,1046
0517,Philomachus pugnax,560,1121
0470,Charadrius hiaticula,755,1523
0529,Scolopax rusticola,269,538
0634,Uria aalge,1836,3674
0556,Actitis hypoleucos,334,669
0611,Thalasseus sandvicensis,1485,3021
0157,Anser fabalis,1025,2628
0191,Anas querquedula,402,804
0554,Tringa glareola,523,1047
0182,Anas strepera,603,1208
0485,Pluvialis apricaria,692,1384
0636,Alca torda,610,1220
0206,Somateria mollissima,5880,11831
0154,Cygnus cygnus,278,927
0124,Ardea purpurea,288,576
0173,Tadorna tadorna,592,1186
0456,Recurvirostra avosetta,592,1245
0532,Limosa limosa,437,888
0616,Sterna paradisaea,605,1260
0606,Hydroprogne caspia,350,701
0496,Calidris canutus,945,1902
0144,Platalea leucorodia,441,995
0561,Arenaria interpres,317,642
0575,Larus melanocephalus,443,1190
0469,Charadrius dubius,107,215
0167,Branta leucopsis,502,1086
0166,Branta canadensis,413,841
0624,Sternula albifrons,346,719
0501,Calidris minuta,219,441
0080,Phalacrocorax aristotelis,488,977
0548,Tringa nebularia,118,238
0638,Cepphus grylle,246,492
0095,Botaurus stellaris,92,185
0433,Grus grus,405,1309
0545,Tringa erythropus,111,222
0407,Rallus aquaticus,86,172
0509,Calidris ferruginea,248,497
0486,Pluvialis squatarola,156,316
0538,Numenius phaeopus,141,282
0158,Anser brachyrhynchus,380,767
0218,Bucephala clangula,67,134
0153,Cygnus columbianus,251,780
0534,Limosa lapponica,190,383
0602,Rissa tridactyla,206,430
0553,Tringa ochropus,50,100
0477,Charadrius alexandrinus,108,222
0071,Morus bassanus,80,160
0518,Lymnocryptes minimus,48,96
0007,Tachybaptus ruficollis,53,107
0497,Calidris alba,175,352
0627,Chlidonias niger,97,197
0569,Stercorarius skua,77,154
0009,Podiceps cristatus,47,94
0168,Branta bernicla,133,271
0104,Nycticorax nycticorax,51,102
0221,Mergus serrator,61,122
0223,Mergus merganser,51,102
