species_name,max,min,mean,log_mean
Actitis_hypoleucos,40,70,55,1.74
Alca_torda,505,725,615,2.789
Anas_acuta,450,1360,905,2.957
Anas_clypeata,400,1100,750,2.875
Anas_crecca,340,360,350,2.544
Anas_penelope,500,950,725,2.86
Anas_platyrhynchos,900,1200,1050,3.021
Anas_querquedula,290,480,385,2.585
Anas_strepera,790,950,870,2.94
Anser_albifrons,1951,3311,2631,3.42
Anser_anser,2500,4100,3300,3.519
Anser_brachyrhynchus,1800,3300,2550,3.407
Anser_fabalis,1700,4000,2850,3.455
Ardea_cinerea,1000,2000,1500,3.176
Ardea_purpurea,600,1400,1000,3
Arenaria_interpres,85,155,120,2.079
Aythya_ferina,900,1100,1000,3
Aythya_fuligula,1000,1400,1200,3.079
Botaurus_stellaris,900,1100,1000,3
Branta_bernicla,1648,1710,3358,3.526
Branta_canadensis,3000,6500,4750,3.677
Branta_leucopsis,1800,2000,1900,3.279
Bucephala_clangula,500,1182,841,2.925
Calidris_alba,40,100,70,1.845
Calidris_alpina,40,60,50,1.699
Calidris_canutus,90,200,145,2.161
Calidris_ferruginea,70,80,75,1.875
Calidris_minuta,20,40,30,1.477
Cepphus_grylle,320,480,400,2.602
Charadrius_alexandrinus,35,45,40,1.602
Charadrius_dubius,35,45,40,1.602
Charadrius_hiaticula,45,75,60,1.778
Chlidonias_niger,50,60,55,1.74
Ciconia_ciconia,2300,4500,3400,3.531
Cygnus_columbianus,3400,9600,6500,3.813
Cygnus_cygnus,8000,20000,14000,4.146
Cygnus_olor,9000,12000,10500,4.021
Fulica_atra,770,900,835,2.922
Gallinago_gallinago,140,260,200,2.301
Gallinula_chloropus,270,340,305,2.484
Grus_grus,4500,6100,5300,3.724
Haematopus_ostralegus,190,400,295,2.47
Hydroprogne_caspia,580,780,680,2.833
Larus_argentatus,800,1250,1025,3.011
Larus_canus,360,600,480,2.681
Larus_fuscus,900,1330,1115,3.047
Larus_marinus,1300,2000,1650,3.217
Larus_melanocephalus,420,570,495,2.695
Larus_ridibundus,290,480,385,2.585
Limosa_lapponica,250,450,350,2.544
Limosa_limosa,290,350,320,2.505
Lymnocryptes_minimus,35,65,50,1.699
Mergus_merganser,900,2160,1530,3.185
Mergus_serrator,800,1350,1075,3.031
Morus_bassanus,2200,3600,2900,3.462
Numenius_arquata,410,1360,885,2.947
Numenius_phaeopus,310,490,400,2.602
Nycticorax_nycticorax,600,800,700,2.845
Phalacrocorax_aristotelis,1900,2100,2000,3.301
Phalacrocorax_carbo,2600,3700,3150,3.498
Philomachus_pugnax,120,180,150,2.176
Platalea_leucorodia,1130,1960,1545,3.189
Pluvialis_apricaria,160,280,220,2.342
Pluvialis_squatarola,190,280,235,2.371
Podiceps_cristatus,600,1500,1050,3.021
Rallus_aquaticus,75,195,135,2.13
Recurvirostra_avosetta,260,290,275,2.439
Rissa_tridactyla,300,520,410,2.613
Scolopax_rusticola,300,350,325,2.512
Somateria_mollissima,1200,3000,2100,3.322
Stercorarius_skua,1300,1500,1400,3.146
Sterna_hirundo,110,150,130,2.114
Sterna_paradisaea,85,125,105,2.021
Sternula_albifrons,50,60,55,1.74
Tachybaptus_ruficollis,130,240,185,2.267
Tadorna_tadorna,900,1400,1150,3.061
Thalasseus_sandvicensis,350,450,400,2.602
Tringa_erythropus,150,170,160,2.204
Tringa_glareola,50,60,55,1.74
Tringa_nebularia,160,180,170,2.23
Tringa_ochropus,65,85,75,1.875
Tringa_totanus,85,155,120,2.079
Uria_aalge,945,1045,995,2.998
Vanellus_vanellus,200,250,225,2.352
