Country,"Country code",ibas,"ringers","birds"
United_Kingdom,UK,153,2100,28332
Germany,DE,490,830,60677
Spain,ES,264,762,5640
Finland,FI,90,700,15065
Netherlands,NL,94,460,68229
Bulgaria,BG,48,450,105
Czech_Republic,CZ,16,450,448
France,FR,229,400,16371
Italy,IT,155,400,3540
Belgium,BE,45,374,16408
Norway,NO,40,350,938
Hungary,HU,34,260,1427
Sweden,SE,60,250,20563
Switzerland,CH,25,230,2867
Latvia,LV,37,200,1699
Poland,PL,79,200,13294
Denmark,DK,118,175,52754
Portugal,PT,27,133,862
Estonia,EE,58,90,990
Romania,RO,21,60,48
Slovakia,SK,24,52,212
Iceland,IS,34,50,145
Lithuania,LT,50,50,3892
Slovenia,SI,11,50,43
Croatia,HR,16,40,265
Belarus,BY,21,35,162
Malta,MT,4,20,28
Greece,GR,69,10,173
Turkey,TR,30,7,73
